RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
GODAVARI,2370,"GODAVARI AT RAJAMURY U/S OF NALLA CHANNEL, A.P",ANDHRA PRADESH,18,33,25.5,5,6.8,5.9,7.1,7.9,7.5,200,348,274.0,1,2.2,1.6,0.3,2.2,1.25,3,43,23.0,43,2400,1221.5
GODAVARI,14,"GODAVARI AT POLAVARAM, A.P.",ANDHRA PRADESH,26,31,28.5,5.4,7.1,6.25,7.5,8,7.75,191,288,239.5,0.6,1.6,1.1,0.2,0.8,0.5,3,21,12.0,7,460,233.5
GODAVARI,1218,"GODAVARI AT RAJAHMURY U/S, A.P.",ANDHRA PRADESH,26,32,29.0,5.2,6.8,6.0,7.6,8,7.8,206,288,247.0,0.6,1.4,1.0,0.1,0.8,0.45,3,20,11.5,15,2400,1207.5
GODAVARI,2371,"GODAVARI AT RAJAMURY D/S OF NALLA CHANNEL, A.P",ANDHRA PRADESH,19,34,26.5,5.2,6.2,5.7,6.9,7.7,7.300000000000001,208,495,351.5,1,4.5,2.75,0,2.2,1.1,3,210,106.5,28,2400,1214.0
GODAVARI,1219,"GODAVARI AT RAJAHMURY D/S, A.P.",ANDHRA PRADESH,19,34,26.5,5,6.6,5.8,7.5,7.9,7.7,179,402,290.5,1,2.7,1.85,0.2,1.9,1.05,7,75,41.0,15,2400,1207.5
GODAVARI,1095,GODAVARI RIVER-GANGAPUR DAM,MAHARASHTRA,17,29,23.0,4.9,7,5.95,7.5,8.5,8.0,151,465,308.0,2.4,20,11.2,0,4,2.0,4,90,47.0,70,350,210.0
GODAVARI,1096,GODAVARI RIVER AT RAMKU,MAHARASHTRA,16,29,22.5,4.1,6.6,5.35,7.3,8.6,7.949999999999999,182,643,412.5,2.4,18,10.2,0.1,5.3,2.6999999999999997,8,240,124.0,50,500,275.0
GODAVARI,1211,GODAVARI RIVER--D/S. NASHIK,MAHARASHTRA,17,29,23.0,3.1,7,5.05,7.4,8.4,7.9,170,590,380.0,3,20,11.5,0.1,5.7,2.9,13,500,256.5,80,900,490.0
GODAVARI,2177,GODAVARI RIVER AT SOMESHWAR,MAHARASHTRA,17,26,21.5,4.7,6.9,5.800000000000001,7.4,8.5,7.95,159,499,329.0,3,11,7.0,0,7.4,3.7,4,130,67.0,110,500,305.0
GODAVARI,2179,GODAVARI RIVER AT HANUMAN GHAT,MAHARASHTRA,16,24,20.0,4.5,7.2,5.85,7.7,8.5,8.1,193,621,407.0,2.2,10,6.1,0.3,5.2,2.75,14,220,117.0,90,540,315.0
GODAVARI,2180,GODAVARI RIVER--TAPOVAN,MAHARASHTRA,17,28,22.5,4.1,7.1,5.6,7.6,8.5,8.05,167,638,402.5,2.4,18,10.2,0.3,7.6,3.9499999999999997,8,500,254.0,60,900,480.0
GODAVARI,2181,GODAVARI RIVER-KAPILA-GODA CONF. POINT,MAHARASHTRA,17,28,22.5,4.3,6.8,5.55,7.3,8.6,7.949999999999999,169,681,425.0,2.8,15,8.9,0.4,9.1,4.75,11,220,115.5,110,900,505.0
KRISHNA,37,KRISHNA RIVER WATER AT MAIGHAT SANGLI,MAHARASHTRA,20,23,21.5,5.1,7.5,6.3,7.1,8.1,7.6,387,1025,706.0,2,3.4,2.7,0.1,0.3,0.2,,,,,,
KRISHNA,1194,"KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM, MAHARASHTRA",MAHARASHTRA,21.5,28.5,25.0,4.9,7.8,6.35,6.7,8.4,7.550000000000001,91,122,106.5,3.1,7.2,5.15,0.2,1.5,0.85,12,20,16.0,50,425,237.5
KRISHNA,1153,"KRISHNA AT RAJAPUR WEIR, MAHARASHTRA",MAHARASHTRA,19,25,22.0,4.8,7.3,6.05,6.7,8,7.35,165,806,485.5,2.2,3.4,2.8,0.1,1.3,0.7000000000000001,,,,,,
KRISHNA,36,"KRISHNA AT KRISHNA BRIDGE, KARAD, MAHARASHTRA",MAHARASHTRA,22,28.5,25.25,5.3,7.8,6.55,7,8.4,7.7,97,,,3.2,9.5,6.35,0.5,218,109.25,14,275,144.5,350,1800,1075.0
