"7/19/23, 11:18 AM",cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_1.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2013 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BEAS - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,,D.O. (mg/l),,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+ NITRITE-
N (mg/l)",,,"FECAL COLIFORM
(MPN/100ml)",,,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
1489,"ALKANANDAA/C WITH BHAGIRATHI AT
DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,13.2,20,16.8,7.6,10,8.6,7.9,8.5,8.3,151,151,151,1.2,2,1.6,0,0,0,45,45,45,330,330,330
1060,"GANGAAT RISHIKESH U/S, U.P",UTTARAKHAND,10.6,21,16.8,7.4,9.2,8.6,7.3,8.2,7.9,,,,0.8,2.4,1.5,0,0,0,,,,14,110,32
,GANGA RIVER AFTER CONFLUENCE OF,,,,,,,,,,,,,,,,,,,,,,,,,
2725,RIVER SONG NEAR SATYANARAYAN TEMPLE,UTTARAKHAND,13,24,20,5.4,8,6.7,7.4,8.2,7.9,,,,2,13,5.5,0,0,0,,,,300,1600,1283
,D/S RAIWALA,,,,,,,,,,,,,,,,,,,,,,,,,
1061,"GANGAAT HARIDWAR D/S, U.P",UTTARAKHAND,19,19,19,5.6,7.8,6.5,7.5,8.3,7.8,,,,2.2,7.8,5.2,0,0,0,,,,500,1600,1245
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,15,15,15,7.2,8.8,7.9,7.8,8.3,8.1,,,,1.2,3,2.5,0,0,0,,,,110,500,235
1062,"GANGAAT GARHMUKTESHWAR, U.P",UTTAR PRADESH,15,27,21.9,7,11.2,9,6.8,7.8,7.4,190,480,273,2.2,5.2,2.9,0.4,1.23,1,550,1400,767,920,2400,1402
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,,,,,,,7,7.5,7.4,171,330,241,1.1,3.6,2.6,0,0,0,,,,,,
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,,,,,,,7,7.5,7.4,170,320,243,1.2,3.4,2.5,0,0,0,,,,,,
